Model,CV F1,Val F1,Val Precision,Val Recall,Val Accuracy,Best Parameters
LinearSVC,0.6076,0.6125,0.5943,0.6364,0.8458,"C: 1.0
  loss: hinge
  analyzer: char_wb
  max_df: 0.8
  max_features: 30000
  min_df: 1
  ngram_range: (1, 3)
  sublinear_tf: True"
Logistic Regression,0.5789,0.5849,0.5643,0.6572,0.777,"C: 1.0
  solver: lbfgs
  analyzer: char_wb
  max_df: 0.8
  max_features: 40000
  min_df: 1
  ngram_range: (1, 3)
  sublinear_tf: True"
SGDClassifier,0.4162,0.4337,0.564,0.4268,0.8305,"alpha: 0.001
  learning_rate: invscaling
  loss: modified_huber
  penalty: l2
  analyzer: char_wb
  max_df: 0.8
  max_features: 5000
  min_df: 10
  ngram_range: (1, 2)
  sublinear_tf: False"
